region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,297256,0.07,0.084,0.0785,0.083,0.082,0.0821,2.28
AI,6508,0.0015,0.0017,0.0016,0.0018,0.0033,0.003,2.43
AR,24008,0.006,0.0066,0.0059,0.0062,0.0077,0.0088,2.27
BE,474607,0.1279,0.1329,0.1109,0.1122,0.1139,0.1126,2.15
BL,128744,0.0313,0.0371,0.0336,0.0344,0.0308,0.0255,2.22
BS,97490,0.0337,0.0225,0.0218,0.0181,0.0172,0.0172,1.95
FR,133515,0.0307,0.0339,0.0396,0.0423,0.0433,0.0402,2.37
GE,202628,0.0535,0.0429,0.0636,0.0567,0.0663,0.1106,2.37
GL,18064,0.0047,0.0049,0.0045,0.0048,0.0047,0.0042,2.2
GR,92439,0.0261,0.0244,0.0224,0.0224,0.0215,0.0162,2.12
JU,32392,0.0085,0.0082,0.0084,0.0087,0.0101,0.0084,2.24
LU,179274,0.0445,0.0488,0.0445,0.0493,0.0541,0.0513,2.26
NE,81535,0.0238,0.0196,0.0215,0.0207,0.0186,0.0152,2.13
NW,19112,0.0046,0.0057,0.0048,0.0051,0.0049,0.0039,2.22
OW,16192,0.0038,0.0045,0.004,0.0048,0.005,0.0051,2.31
SG,222993,0.057,0.0596,0.055,0.0588,0.0685,0.0727,2.25
SH,37719,0.0103,0.0103,0.009,0.009,0.009,0.009,2.15
SO,122863,0.031,0.0348,0.031,0.0308,0.0313,0.0312,2.21
SZ,69332,0.0165,0.0194,0.0182,0.019,0.0203,0.0192,2.28
TG,121701,0.0294,0.0341,0.0312,0.0332,0.0343,0.0363,2.27
TI,163671,0.0476,0.0392,0.0475,0.0399,0.0337,0.0247,2.11
UR,15499,0.0036,0.0044,0.0038,0.0044,0.0053,0.0047,2.31
VD,354496,0.0954,0.0847,0.1031,0.0987,0.0922,0.0839,2.23
VS,152632,0.0403,0.0387,0.0417,0.0409,0.0411,0.0373,2.22
ZG,54949,0.0129,0.015,0.0152,0.0163,0.0156,0.0116,2.29
ZH,691687,0.1854,0.1821,0.1788,0.1786,0.1658,0.165,2.18
CH,3811306,1371444.0,1248610.0,498042.0,477434.0,156931.0,58845.0,2.21
