region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,678207,0.2024,0.6211,0.1765,0.5025,0.4975,0.7487,0.2513,0.4254,0.4477,0.0448,0.0804,0.0001,0.0015,0.0002,0.5463,0.304,0.1497
AI,16145,0.2121,0.5965,0.1915,0.5141,0.4859,0.887,0.113,0.4555,0.4333,0.0525,0.0576,0.0001,0.0009,0.0002,0.0,0.0,1.0
AR,55234,0.2015,0.6014,0.1971,0.5049,0.4951,0.8368,0.1632,0.4255,0.4368,0.0506,0.0855,0.0,0.0015,0.0001,0.2851,0.481,0.2339
BE,1034977,0.1904,0.6014,0.2082,0.4906,0.5094,0.8366,0.1634,0.4357,0.4229,0.0536,0.0857,0.0001,0.0017,0.0003,0.525,0.2218,0.2532
BL,288132,0.192,0.5886,0.2194,0.4905,0.5095,0.7719,0.2281,0.4035,0.4551,0.0544,0.0845,0.0,0.0023,0.0002,0.6806,0.2956,0.0238
BS,194766,0.1724,0.6288,0.1988,0.4842,0.5158,0.636,0.364,0.4798,0.3655,0.0536,0.0969,0.0001,0.0037,0.0004,1.0,0.0,0.0
FR,318714,0.2234,0.6193,0.1573,0.5007,0.4993,0.773,0.227,0.4585,0.4168,0.0425,0.0806,0.0001,0.0014,0.0002,0.3284,0.4201,0.2515
GE,499480,0.2112,0.6247,0.1641,0.4842,0.5158,0.5997,0.4003,0.4754,0.3841,0.0407,0.0962,0.0002,0.003,0.0004,0.9112,0.0888,0.0
GL,40403,0.1912,0.608,0.2008,0.5061,0.4939,0.7591,0.2409,0.4169,0.4428,0.0572,0.0821,0.0,0.001,0.0001,0.765,0.0,0.235
GR,198379,0.1799,0.6068,0.2133,0.5009,0.4991,0.8136,0.1864,0.4243,0.44,0.0542,0.0804,0.0001,0.001,0.0001,0.3254,0.1229,0.5517
JU,73419,0.2097,0.5815,0.2088,0.4947,0.5053,0.8533,0.1467,0.4337,0.4171,0.0618,0.086,0.0001,0.0011,0.0001,0.3405,0.1925,0.467
LU,409557,0.2035,0.6205,0.176,0.4983,0.5017,0.8147,0.1853,0.4567,0.4268,0.0455,0.0691,0.0001,0.0016,0.0001,0.5247,0.1129,0.3624
NE,176850,0.2113,0.5983,0.1904,0.4898,0.5102,0.7472,0.2528,0.4459,0.3941,0.0546,0.1039,0.0001,0.0013,0.0002,0.5828,0.2955,0.1217
NW,43223,0.1824,0.6143,0.2033,0.5118,0.4882,0.8531,0.1469,0.4308,0.4431,0.0462,0.0787,0.0001,0.001,0.0,0.3724,0.1337,0.4939
OW,37841,0.2019,0.6104,0.1877,0.5059,0.4941,0.8535,0.1465,0.4398,0.4461,0.0471,0.0659,0.0001,0.001,0.0001,0.274,0.0,0.726
SG,507697,0.2053,0.6122,0.1825,0.5009,0.4991,0.7589,0.2411,0.4331,0.4369,0.0479,0.0808,0.0001,0.0012,0.0001,0.693,0.1313,0.1757
SH,81991,0.188,0.6005,0.2116,0.4947,0.5053,0.7394,0.2606,0.4106,0.4441,0.0557,0.0876,0.0,0.0017,0.0002,0.5744,0.3235,0.102
SO,273194,0.1905,0.6139,0.1956,0.4996,0.5004,0.7738,0.2262,0.4191,0.4383,0.052,0.0888,0.0,0.0015,0.0002,0.6032,0.2565,0.1403
SZ,159165,0.1947,0.6279,0.1774,0.5127,0.4873,0.7843,0.2157,0.4334,0.4418,0.0443,0.0788,0.0,0.0015,0.0001,0.6083,0.212,0.1797
TG,276472,0.2032,0.6208,0.176,0.5034,0.4966,0.7513,0.2487,0.4237,0.4444,0.0452,0.0853,0.0,0.0013,0.0001,0.4629,0.2078,0.3293
TI,353343,0.1814,0.5925,0.2261,0.4873,0.5127,0.722,0.278,0.4204,0.4318,0.0606,0.0857,0.0001,0.0012,0.0001,0.7119,0.2157,0.0723
UR,36433,0.2015,0.5943,0.2043,0.5108,0.4892,0.8766,0.1234,0.4273,0.4649,0.0548,0.0518,0.0002,0.0009,0.0001,0.6175,0.2687,0.1138
VD,799145,0.2198,0.6158,0.1644,0.4912,0.5088,0.6681,0.3319,0.4681,0.3994,0.0428,0.0869,0.0001,0.0024,0.0003,0.6181,0.2781,0.1038
VS,343955,0.1977,0.6062,0.1961,0.4955,0.5045,0.773,0.227,0.4276,0.4334,0.0534,0.0841,0.0001,0.0012,0.0002,0.5488,0.2392,0.2121
ZG,126837,0.2029,0.6276,0.1696,0.5061,0.4939,0.7168,0.2832,0.4372,0.4455,0.0387,0.0764,0.0001,0.002,0.0002,0.9175,0.0825,0.0
ZH,1520968,0.1974,0.6325,0.1701,0.4978,0.5022,0.7315,0.2685,0.4636,0.4054,0.0412,0.0858,0.0001,0.0034,0.0005,0.7716,0.2217,0.0067
CH,8544527,0.2001,0.6153,0.1846,0.4959,0.5041,0.7486,0.2514,0.4444,0.4211,0.0474,0.0847,0.0001,0.002,0.0003,0.6297,0.2178,0.1525
